Kelvin,Celcius,Density,Elastic Modulus,Poisson Ratio,Yield Strength,Ultimate Tensile Strength,CTE,Thermal Conductivity,Specific Heat,Electrical Resistivity
433.16,160,2.69E-06,61351.14346,,88.44607001,130.2959139,2.36E-05,0.154952485,937.6555997,
453.16,180,2.69E-06,59153.27743,,83.45594252,112.613311,2.38E-05,0.161731866,950.5088048,
473.16,200,2.69E-06,56742.40155,,77.13254462,97.78473601,2.40E-05,0.169433903,963.8179308,
493.16,220,2.68E-06,54118.51584,,70.21198688,89.27721542,2.42E-05,0.172614605,977.7347536,
513.16,240,2.68E-06,51281.62028,,64.12143259,81.84346279,2.44E-05,0.174218493,992.383888,
533.16,260,2.67E-06,48231.71489,,57.82675346,74.37164795,2.46E-05,0.175373782,1007.862788,
553.16,280,2.67E-06,44968.79965,,51.55935554,67.04823565,2.48E-05,0.176080473,1024.241746,
573.16,300,2.66E-06,41492.87458,,45.55064485,60.05969061,2.50E-05,0.176338566,1041.563895,
593.16,320,2.66E-06,37803.93966,,40.03202743,53.59247758,2.52E-05,0.176148061,1059.845205,
613.16,340,2.65E-06,33901.99491,,35.2349093,47.83306129,2.54E-05,0.175508958,1079.074486,
633.16,360,2.65E-06,29787.04032,,31.3906965,42.96790648,2.56E-05,0.174421256,1099.213388,
653.16,380,2.65E-06,,,,,2.58E-05,0.172884957,1120.196397,
673.16,400,2.64E-06,,,,,2.60E-05,0.170900059,1141.930842,
693.16,420,2.64E-06,,,,,2.62E-05,0.168466563,1164.296888,
-6.84,-280,,,,,,,,,
13.16,-260,,398301.0563,,,,,0.010827864,0.219836904,
33.16,-240,4.00E-06,398182.3694,,,,2.44E-06,0.083858299,3.647849342,
53.16,-220,4.00E-06,398018.6725,,,,2.67E-06,0.150548901,18.19905035,
73.16,-200,4.00E-06,397809.9655,,,,2.91E-06,0.158988966,51.72237151,
93.16,-180,4.00E-06,397556.2484,,,,3.15E-06,0.136699491,104.3076968,
113.16,-160,4.00E-06,397257.5213,,,,3.40E-06,0.111144327,171.6402576,
133.16,-140,4.00E-06,396913.7841,,,,3.64E-06,0.093483768,247.4383526,
153.16,-120,4.00E-06,396525.0367,,,,3.89E-06,0.079312942,325.8438631,
173.16,-100,4.00E-06,396091.2794,,,,4.15E-06,0.068016859,403.071081,
193.16,-80,4.00E-06,395612.5119,,,,4.41E-06,0.05905919,476.9926752,
213.16,-60,3.99E-06,395088.7343,,,,4.63E-06,0.051976994,546.0753184,
233.16,-40,3.99E-06,394519.9467,,,,4.83E-06,0.046375466,609.3796873,
253.16,-20,3.99E-06,393906.149,,,,5.02E-06,0.041922668,666.5604623,
273.16,0,3.99E-06,393247.3412,,,,5.20E-06,0.03834427,717.8663276,
293.16,20,3.99E-06,392557.4321,0.227992016,,203.1305068,5.37E-06,0.035418286,764.1399715,
313.16,40,3.99E-06,391587.5108,0.228326499,,202.2893291,5.52E-06,0.033320978,805.5748722,
333.16,60,3.99E-06,390614.9629,0.228659003,,201.5284497,5.67E-06,0.03157329,842.4608166,
353.16,80,3.99E-06,389639.7882,0.228989526,,200.840613,5.81E-06,0.029918636,875.8378387,
373.16,100,3.98E-06,388661.9868,0.229318069,,200.2185633,5.95E-06,0.028353486,906.0170896,
393.16,120,3.98E-06,387681.5587,0.229644631,,199.6550449,6.07E-06,0.026874381,933.2931042,
413.16,140,3.98E-06,386698.5038,0.229969214,,199.1428021,6.19E-06,0.025477929,957.9438007,
433.16,160,3.98E-06,385712.8222,0.230291816,,198.6745793,6.30E-06,0.024160808,980.2304807,
453.16,180,3.98E-06,384724.5138,0.230612437,,198.2431209,6.40E-06,0.022919761,1000.397829,
473.16,200,3.98E-06,383733.5787,0.230931079,,197.8411712,6.50E-06,0.021751602,1018.673915,
493.16,220,3.97E-06,382740.0169,0.23124774,,197.4614745,6.59E-06,0.020653213,1035.270191,
513.16,240,3.97E-06,381743.8284,0.23156242,,197.0967751,6.67E-06,0.019621544,1050.381491,
533.16,260,3.97E-06,380745.0131,0.231875121,,196.7398174,6.75E-06,0.018653614,1064.186036,
553.16,280,3.97E-06,379743.5711,0.232185841,,196.3833458,6.83E-06,0.017746508,1076.845428,
573.16,300,3.97E-06,378739.5024,0.232494581,,196.0201045,6.90E-06,0.016897381,1088.504652,
593.16,320,3.97E-06,377732.8069,0.232801341,,195.642838,6.97E-06,0.016103458,1099.292079,
613.16,340,3.96E-06,376723.4847,0.23310612,,195.2442905,7.04E-06,0.01536203,1109.319461,
633.16,360,3.96E-06,375711.5357,0.233408919,,194.8172063,7.10E-06,0.014670456,1118.681935,
653.16,380,3.96E-06,374696.9601,0.233709738,,194.35433,7.16E-06,0.014026165,1127.458022,
673.16,400,3.96E-06,373679.7577,0.234008576,,193.8484057,7.21E-06,0.013426654,1135.709623,
693.16,420,3.96E-06,372659.9285,0.234305434,,193.2921778,7.26E-06,0.012869487,1143.482027,
713.16,440,3.95E-06,371637.4726,0.234600312,,192.6783906,7.32E-06,0.012352298,1150.803904,
733.16,460,3.95E-06,370612.39,0.23489321,,191.9997885,7.36E-06,0.011872788,1157.687308,
753.16,480,3.95E-06,369584.6807,0.235184127,,191.2491159,7.41E-06,0.011428727,1164.127676,
773.16,500,3.95E-06,368554.3446,0.235473064,,190.419117,7.46E-06,0.011017954,1170.103829,
793.16,520,3.95E-06,367521.3818,0.23576002,,189.5025363,7.50E-06,0.010638375,1175.577971,
813.16,540,3.94E-06,366485.7923,0.236044997,,188.4921179,7.54E-06,0.010287965,1180.508685,
833.16,560,3.94E-06,365447.576,0.236327993,,187.3806064,7.58E-06,0.009964767,1185.416936,
853.16,580,3.94E-06,364406.733,0.236609009,,186.160746,7.62E-06,0.009666892,1190.165078,
