Kelvin,Celcius,Density,Elastic Modulus,Poisson Ratio,Yield Strength,Ultimate Tensile Strength,CTE,Thermal Conductivity,Specific Heat,Electrical Resistivity
5,-268.16,0,206350.26,0.28,,,0,0,2.51,0
25,-248.16,0,207603.3,0.28,,1435.17,0,0,20.01,0
45,-228.16,0,208164.74,0.28,,1382.21,0,0.01,73.79,0
65,-208.16,0,208165.16,0.28,,1322.04,0,0.01,151.12,0
85,-188.16,0,207721.12,0.28,,1256.08,0,0.01,225,0
105,-168.16,0,206935.16,0.28,,1185.74,0,0.01,285.37,0
125,-148.16,0,205895.79,0.29,,1112.45,0,0.01,330.53,0
145,-128.16,0,204677.5,0.29,,1037.61,0,0.01,365.43,0
165,-108.16,0,203340.77,0.29,,962.65,0,0.01,392.57,0
185,-88.16,0,201932.03,0.29,,888.98,0,0.01,414.54,0
205,-68.16,0,200483.7,0.29,,818.03,0,0.01,432.32,0
225,-48.16,0,199014.18,0.29,,751.21,0,0.01,446.87,0
245,-28.16,0,197527.85,0.29,,689.94,0,0.01,459.18,0
265,-8.16,0,196015.05,0.29,,635.63,0,0.01,470.22,0
285,11.84,0,194452.11,0.29,,589.71,0,0.01,480.95,0
305,31.84,0,192855.22,0.29,,558.33,0,0.01,491.83,0
325,51.84,0,191177.45,0.3,,544.01,0,0.01,501.2,0
345,71.84,0,189499.67,0.3,,531.77,0,0.01,509.93,0
365,91.84,0,187821.9,0.3,,521.47,0,0.01,518.07,0
385,111.84,0,186144.12,0.3,,512.93,0,0.01,525.66,0
405,131.84,0,184466.34,0.3,,506,0,0.01,532.74,0
425,151.84,0,182788.57,0.3,,500.53,0,0.02,539.34,0
445,171.84,0,181110.79,0.31,,496.36,0,0.02,545.51,0
465,191.84,0,179433.02,0.31,,493.33,0,0.02,551.29,0
485,211.84,0,177755.24,0.31,,491.3,0,0.02,556.69,0
505,231.84,0,176077.47,0.31,,490.11,0,0.02,561.77,0
525,251.84,0,174399.69,0.31,,489.61,0,0.02,566.55,0
545,271.84,0,172721.91,0.31,,489.66,0,0.02,571.06,0
565,291.84,0,171044.14,0.32,,490.12,0,0.02,575.33,0
585,311.84,0,169366.36,0.32,,490.84,0,0.02,579.4,0
605,331.84,0,167688.59,0.32,,491.67,0,0.02,583.28,0
625,351.84,0,166010.81,0.32,,492.49,0,0.02,587,0
645,371.84,0,164333.04,0.32,,493.14,0,0.02,590.58,0
665,391.84,0,162655.26,0.32,,493.5,0,0.02,594.06,0
685,411.84,0,160977.49,0.33,,493.42,0,0.02,597.45,0
705,431.84,0,159299.71,0.33,,493.15,0,0.02,600.77,0
725,451.84,0,157621.93,0.33,,493.1,0,0.02,604.04,0
745,471.84,0,155944.16,0.33,,491.72,0,0.02,607.27,0
765,491.84,0,154266.38,0.33,,488.57,0,0.02,610.49,0
785,511.84,0,152588.61,0.33,,483.16,0,0.02,613.71,0
805,531.84,0,150910.83,0.34,,475.04,0,0.02,616.94,0
825,551.84,0,149233.06,0.34,,463.75,0,0.02,620.19,0
845,571.84,0,147555.28,0.34,,448.82,0,0.02,623.48,0
865,591.84,0,145877.51,0.34,,429.8,0,0.02,626.82,0
885,611.84,0,144199.73,0.34,,406.22,0,0.02,630.2,
905,631.84,0,142521.95,0.34,,377.61,0,0.02,633.65,
925,651.84,,140844.18,0.34,,345.2,,0.02,637.17,
945,671.84,,139166.4,0.35,,319.68,,0.02,640.75,
965,691.84,,137488.63,0.35,,294.13,,0.02,644.41,
985,711.84,,135810.85,0.35,,268.92,,0.02,648.15,
1005,731.84,,134133.08,0.35,,244.41,,0.02,651.96,
1025,751.84,,132455.3,0.35,,220.98,,0.02,655.85,
1045,771.84,,130777.52,0.35,,199,,0.02,659.81,
1065,791.84,,129099.75,0.36,,178.82,,0.02,663.84,
1085,811.84,,127421.97,0.36,,160.83,,0.02,667.93,
1105,831.84,,125744.2,0.36,,145.39,,0.02,672.08,
1125,851.84,,124066.42,0.36,,132.86,,0.02,676.28,
1145,871.84,,122388.65,0.36,,,,0.02,680.53,
1165,891.84,,120710.87,0.36,,,,0.02,684.81,
1173,899.84,,120039.76,0.36,,,,0.02,686.52,
-6.84,-280,,,,,,,,,
13.16,-260,,221751.895,0.285013616,,,,,,
33.16,-240,,221599.9386,0.284980357,,,,,,
53.16,-220,,221271.205,0.284947098,,,,,,
73.16,-200,,220800.6818,0.284913839,,,,,,
93.16,-180,,220218.9579,0.284880579,,,,,,
113.16,-160,,219552.2241,0.28484732,,,,,,
133.16,-140,,218822.2723,0.285012363,,,,,,
153.16,-120,,218046.4959,0.285245008,,,,,,
173.16,-100,,217237.8898,0.285530124,,,,,,
193.16,-80,,216405.0505,0.285867711,,,,,,
213.16,-60,,215552.1757,0.28625777,,,,,,
233.16,-40,,214679.0648,0.286700301,,,,,,
253.16,-20,,213781.1184,0.287195303,,,,,,
273.16,0,,212813.8964,0.287806741,,,,,,
293.16,20,7.86E-06,212324.2469,0.288835937,251.1495228,441.5730305,1.01E-05,0.071419569,500.9788012,
313.16,40,7.86E-06,211749.5417,0.289843049,242.233774,441.4548378,1.04E-05,0.067706268,508.0607699,
